,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Requirements Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORT TABLE - DO NOT PRINT  - DO NOT DELETE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Client Name,,Wind Tre SpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Engagement Name,,HUTCHISON - H3G  Connected Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Proposed Start Date ,,01 December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be consistent with ABACUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engagement,"Application/
Project Name",Sub-Project,Sub-sub-project,"New/ 
Ramp Up 
Demand",Skill ID,Capability,Specialty,Skill,"Additional Skills Required 
(Nice to have)",Skills Flexibility/ Possible alternatives,Level,Number of Resources Required,RHL Flag,Priority,Assigned Role,"Demand/
Rate Type","Client
Interview
Required?","Chargeable
Demand?",Career Track,"Resource Pool 
(DC / Avanade)","Start Date 
(dd-Month-yyyy)","End Date 
(dd-Month-yyyy)",Home Office,Work Location,"Onsite 
Component
Present? (Y/N)","Onsite Component:
Work Location 
(Country - City)","Onsite Component:
Duration (weeks)",Date Demand Sent to DC Demand Management,Bill Code,Bill Code Reference,Comments,Ready to Hard Lock Date,"UR
Number","RRD
Number",Use this field to map each role to the Resoure Planner/Staffing Plan,
,,,,New,1308,Program Project Mgmt,Program Project Mgmt,Program Project Mgmt,,,6. Senior Manager,,,,,Long Term,,,Client Delivery & Operations,DC,01 January 2019,31 December 2023,Manila,Manila,,,,,69,,,,,,,
,,,,New,1308,Program Project Mgmt,Program Project Mgmt,Program Project Mgmt,,,7. Manager,0.50,,,,Long Term,,,Client Delivery & Operations,DC,01 December 2018,31 December 2018,Manila,Manila,,,,,62,,,,UR389746,R489443,,
,,,,New,1308,Program Project Mgmt,Program Project Mgmt,Program Project Mgmt,,,7. Manager,0.25,,,,Long Term,,,Client Delivery & Operations,DC,01 January 2019,31 January 2019,Manila,Manila,,,,,62,,,,UR389747,R489444,,
,,,,New,1794,DevOps,UNIX - Shell Scripting,UNIX - Shell Scripting,Same skill with CPaaS monitoring team,,9. Consultant,,,,,Long Term,,,Client Delivery & Operations,DC,01 November 2018,31 December 2023,Manila,Manila,,,,,50,,,,,,,
,,,,New,1794,DevOps,UNIX - Shell Scripting,UNIX - Shell Scripting,Same skill with CPaaS monitoring team,,10. Analyst,1.00,,,,Long Term,,,Client Delivery & Operations,DC,01 December 2018,31 December 2021,Manila,Manila,,,,,36,,,,UR389748,R489445,,
