,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Requirements Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORT TABLE - DO NOT PRINT  - DO NOT DELETE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SSI Update Step 1: Please download the ATCP SSI latest file from the site link below and unzip it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Client Name,AU - Alinta Energy Retail Sales Pty Ltd,,SSI FILE LINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Engagement Name,AU - Alinta Energy Retail Sales Pty Ltd,,"SSI Update Step 2: Click the button ""Update SSI"" to start the update process and choose the unzipped file from step 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Proposed Start Date ,01 November 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be consistent with ABACUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engagement,"Application/
Project Name",Sub-Project,Sub-sub-project,"New/ 
Ramp Up 
Demand",Skill,Specialty,Capability,"Additional Skills Required 
(Nice to have)",Skills Flexibility/ Possible alternatives,Level,Number of Resources Required,RHL Flag,Priority,Assigned Role,"Demand/
Rate Type","Client
Interview
Required?","Chargeable
Demand?",Career Track,"Resource Pool 
(DC / Avanade)","Start Date 
(dd-Month-yyyy)","End Date 
(dd-Month-yyyy)",Home Office,Work Location,"Onsite 
Component
Present? (Y/N)","Onsite Component:
Work Location 
(Country - City)","Onsite Component:
Duration (weeks)",Date Demand Sent to DC Demand Management,Code,Bill Code,Bill Code Reference,Comments,Ready to Hard Lock Date,"UR
Number","RRD
Number",Use this field to map each role to the Resoure Planner/Staffing Plan,
,,,,New,Salesforce Marketing Cloud Social Studio,Salesforce,Software as a Service,Salesforce Marketing Cloud,,9-Consultant,1.00,,Normal,Marketing Cloud Jr Functional Cons,Long Term,,,Client Delivery & Operations,DC,01 March 2019,30 November 2019,Manila,Manila,,,,,SFDC13,52,,,,UR395751,R498119,,
,,,,New,Salesforce Marketing Cloud Social Studio,Salesforce,Software as a Service,Salesforce Marketing Cloud,,10-Analyst,1.00,,Normal,Marketing Cloud Jr Functional Cons 2,Long Term,,,Client Delivery & Operations,DC,01 March 2019,29 February 2020,Manila,Manila,,,,,SFDC13,36,,,,UR395752,R498120,,
,,,,New,Salesforce Marketing Cloud Social Studio,Salesforce,Software as a Service,Salesforce Marketing Cloud/Testing,,11-Analyst,1.00,,Normal,Marketing Cloud Testing,Long Term,,,Client Delivery & Operations,DC,01 May 2019,30 November 2019,Manila,Manila,,,,,SFDC13,32,,,,UR395753,R498109,,
